country,1751,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1470000,3000000,4590000,6230000,7900000,9610000,11300000,13100000,14900000,16800000,18600000,20500000,22400000,24300000,26300000,28300000,30400000,32400000,34600000,36800000,39100000,41400000,43800000,46200000,48600000,51000000,53500000,56300000,58900000
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47700,91700,147000,205000,308000,367000,414000,499000,660000,803000,968000,1130000,1380000,1740000,2220000,2780000,3390000,4000000,4890000,6160000,7610000,9140000,10600000,12100000,13800000,15300000,16800000,18300000,19800000,21700000,23800000,25700000,26300000,27000000,27700000,28400000,29100000,29900000,30700000,31400000,31800000,32200000,32600000,33000000,33400000,33900000,34300000,34800000,35200000,35600000,36100000,36500000,36900000,37400000,38000000,38600000,39300000,39900000,40400000,40900000,41700000,42500000,43500000,44400000,45600000,46800000,48100000,49600000,51200000
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143000,312000,477000,726000,1030000,1460000,1790000,2100000,2450000,2880000,3580000,4770000,5820000,7280000,7950000,8960000,11600000,30100000,60200000,95800000,128000000,150000000,165000000,180000000,189000000,201000000,218000000,238000000,260000000,286000000,312000000,341000000,372000000,402000000,430000000,461000000,495000000,527000000,564000000,601000000,637000000,680000000,717000000,756000000,800000000,845000000,889000000,934000000,979000000,1020000000,1070000000,1120000000,1170000000,1210000000,1260000000,1320000000,1370000000,1420000000,1470000000,1530000000,1590000000,1630000000,1680000000,1740000000,1800000000,1850000000,1910000000,1960000000,2010000000
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199000,406000,613000,828000,1030000,1230000,1440000,1660000,1890000,2110000,2330000,2550000,2770000,3000000,3230000,3450000,3690000,3890000,4110000,4310000,4500000,4680000,4870000,5060000,5220000,5380000,5530000,5680000,5840000
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,267,364,486,,,,,,,,,,,,,,,,,1240,,,,,3520,,,6730,10100,14600,20300,25500,30900,36900,42700,61000,81900,99400,123000,149000,183000,219000,252000,293000,340000,398000,457000,534000,613000,706000,804000,908000,1020000,1140000,1270000,1410000,1550000,1700000,1850000,2030000,2230000,2440000,2690000,2940000,3230000,3520000,3860000,4240000,4680000,5180000,5690000,6180000,6670000,7200000,7680000,8230000,8850000,9460000,10100000,10800000,11400000,12200000,13000000,13700000,14400000,15100000,15800000,16000000,16300000,16500000,16700000,17000000,17300000,17600000,18000000,18500000,19100000,19800000,20600000,21600000,22900000,24300000,25900000,27800000,29900000,32400000,34900000,37500000,40200000,43400000,46300000,48200000,50700000,53100000,55500000,58300000,61600000,65200000,69200000,73700000,78600000,83800000,89400000,95400000,102000000,110000000,118000000,127000000,139000000,151000000,164000000,178000000,192000000,207000000,224000000,241000000,259000000,278000000,297000000,318000000,339000000,362000000,386000000,411000000,437000000,465000000,493000000,522000000,551000000,582000000,612000000,643000000,674000000,705000000,739000000,773000000,807000000,842000000,876000000,912000000,950000000,971000000,987000000,1000000000,1020000000,1030000000,1050000000,1060000000,1080000000,1090000000,1100000000,1120000000,1130000000,1140000000,1150000000,1170000000,1190000000,1200000000,1210000000,1230000000,1240000000,1260000000,1270000000,1280000000,1290000000,1310000000,1320000000,1330000000
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25700,62300,106000,158000,216000,7640000,16700000,26100000,34700000,43500000,53400000,63800000,74600000,84700000,95200000,107000000,118000000,130000000,141000000,154000000,166000000,177000000,189000000,201000000,214000000,228000000,241000000,255000000,269000000,283000000,295000000,307000000,318000000,330000000,342000000,353000000,363000000,372000000,380000000,389000000,398000000,407000000,416000000,425000000,435000000,447000000,460000000,472000000,484000000,496000000,505000000,514000000,523000000,530000000,539000000,547000000,557000000,567000000,577000000,589000000,601000000,613000000,624000000,636000000,646000000,657000000,669000000,679000000,690000000,700000000,709000000,718000000,727000000,737000000
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3670,11000,14700,,,,,,,,,,22000,,25700,29300,33000,337000,583000,891000,1140000,1430000,1740000,2060000,2370000,2750000,3120000,3520000,3880000,4270000,4730000,5220000,5770000,6350000,7200000,8110000,8960000,9930000,11000000,12200000,13300000,14500000,16200000,17200000,18000000,19100000,20200000,21800000,22800000,23800000,24500000,25400000,26400000,27600000,28800000,30100000,31100000,32000000,33000000,34000000,35000000,36200000,37500000,38900000,40500000,42200000,44000000,45900000,47600000,48900000,50500000,52300000,54000000,55700000,57500000,59400000,61100000,63100000,65400000,68200000,71300000,74600000,78200000,82100000,86300000,90600000
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460000,899000,1270000,1630000,1980000,2310000,2660000,3090000,3450000,3840000,4220000,4680000,5180000,5730000,6300000,6850000,7430000,8010000,8650000,9310000,9950000,10700000,11300000,11900000,12400000,13000000,13500000,14100000,14600000,15200000,15700000,16500000,17200000,18000000,18900000,19800000,20700000,21600000,22600000,23500000,24400000,25300000,26100000,26900000,27800000,28700000,29600000,30600000,31500000,32600000,33700000,34700000,35900000,37000000,38200000,39200000,40300000,41600000,42900000,44300000
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3190000,7390000,12100000,16900000,22700000,30100000,38500000,48300000,58500000,69000000,78100000,92700000,109000000,127000000,145000000,164000000,183000000,207000000,230000000,253000000,281000000,309000000,339000000,370000000,408000000,443000000,479000000,520000000,560000000,603000000,654000000,710000000,779000000,853000000,944000000,1040000000,1160000000,1280000000,1400000000,1520000000,1630000000,1750000000,1890000000,2030000000,2180000000,2350000000,2540000000,2720000000,2900000000,3100000000,3300000000,3520000000,3730000000,3950000000,4180000000,4420000000,4660000000,4910000000,5150000000,5410000000
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3670,7330,11000,14700,22000,33000,47700,69700,99000,143000,191000,238000,290000,348000,414000,495000,576000,671000,796000,968000,1120000,1350000,1550000,1750000,2000000,2290000,2620000,2920000,3340000,3790000,4250000,4850000,5350000,6020000,6620000,7380000,8160000,9010000,9890000,10800000,11800000,12900000,14000000,15300000,16600000,18100000,19600000,21100000
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47700,169000,286000,425000,601000,777000,975000,1170000,1390000,1590000,1750000,1950000,2180000,2420000,2690000,3000000,3340000,3680000,4090000,4490000,4910000,5310000,5700000,6070000,6480000,6920000,7320000,7700000,8060000,8450000,8860000,9290000,9720000,10200000,10600000,11100000,11600000,12100000,12600000,13400000,14200000,15000000,15800000,16700000,17600000,18400000,19400000,20400000,21700000,23300000,25100000,27100000,29200000,31500000,34200000,37100000,40200000,43300000,46700000,50300000
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246000,502000,744000,975000,1280000,1620000,1920000,2230000,2560000,2950000,3290000,3590000,3920000,4330000,4830000,5300000,5710000,6230000,6870000,7520000,8190000,8850000,9690000,10500000,11200000,11900000,12700000,13500000,14400000,15300000,16300000,17500000,18800000,19800000,21200000,22400000,23800000,25700000,27700000,29900000,31800000,33900000,36200000,38600000,41100000,43500000,46000000,48500000,50900000,53500000,56000000,58400000,60900000,63500000,66000000,68600000,71200000,73900000,76700000,79200000,81700000,84400000,87100000,89600000,92000000,93700000,95100000,96700000,98300000
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77000,161000,246000,334000,422000,510000,601000,689000,788000,891000,1000000,1110000,1220000,1340000,1460000,1580000,1710000,1840000,1980000,2120000,2260000,2390000,2540000,2680000,2820000,2970000,3120000
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33000,69700,117000,180000,268000,385000,546000,726000,924000,1160000,1430000,1860000,2260000,2710000,3180000,3660000,4170000,4690000,5250000,5830000,6440000,7070000,7700000,8580000,9520000,10400000,11100000,11400000,14700000,17900000,20700000,21500000,22400000,23300000,24200000,25200000,26200000,27300000,28300000,29400000,30500000,31600000,32800000,34000000,35300000,36700000,38200000,39600000,41200000,43000000,45000000,46900000,49000000,51400000,53400000,55900000,58400000,60700000,63200000,65900000
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202000,341000,517000,704000,891000,1020000,1240000,1460000,1670000,1890000,2070000,2260000,2510000,2720000,3030000,3330000,3610000,4110000,4750000,5320000,5820000,6210000,6900000,7580000,8270000,8860000,9480000,10100000,10800000,11400000,12000000,12500000,13100000,13600000,14300000,15000000,15800000,16700000,17600000,18600000,20100000,21600000,23300000,25100000,26700000,28500000,30500000,32500000,34700000,37100000,39800000,42600000,45500000,48600000,51700000,55000000,58600000,62300000,66100000,69800000,73700000,77600000,81600000,85700000,89900000,94100000,98400000,103000000,108000000
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,521000,1100000,1630000,2170000,2670000,3250000,3930000,4670000,5430000,6430000,7740000,9170000,10700000,12400000,14200000,16100000,18300000,22100000,25800000,30000000,38400000,47000000,58800000,68900000,83200000,100000000,127000000,157000000,198000000,275000000,365000000,451000000,523000000,591000000,648000000,693000000,724000000,748000000,771000000,791000000,808000000,824000000,841000000,860000000,881000000,903000000,928000000,952000000,975000000,998000000,1020000000,1040000000,1060000000,1080000000,1100000000,1130000000,1160000000,1190000000,1220000000,1250000000,1280000000,1320000000,1360000000,1390000000,1430000000,1470000000,1520000000,1580000000,1640000000,1700000000,1760000000,1830000000,1890000000,1970000000,2040000000,2120000000,2210000000,2310000000,2410000000,2520000000,2650000000,2780000000,2930000000,3080000000,3250000000,3430000000,3620000000,3850000000,4090000000,4350000000,4640000000,4940000000,5220000000,5500000000,5790000000,6080000000,6390000000,6690000000,7050000000,7370000000,7700000000,8030000000,8370000000,8720000000,9060000000,9400000000,9770000000,10200000000,10500000000,10900000000,11400000000,11800000000,12200000000,12600000000,13100000000,13600000000,14100000000,14600000000,15000000000,15500000000,16000000000,16500000000,17000000000,17500000000,17900000000,18400000000,18900000000,19400000000
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99000,198000,301000,407000,513000,623000,741000,851000,975000,1140000,1290000,1430000,1570000,1690000,1820000,1950000,2060000,2200000,2310000,2420000,2550000,2680000,2820000,2960000,3110000,3250000,3400000
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,253,345,460,,,,,,,,,,,,,,,,,1170,,,,,3340,,,6370,9590,13800,19300,24100,29200,35000,40400,57700,77600,94100,117000,141000,174000,207000,239000,277000,322000,376000,432000,506000,581000,669000,762000,859000,971000,1080000,1210000,1330000,1470000,1610000,1760000,1930000,2110000,2310000,2540000,2780000,3050000,3330000,3650000,4010000,4430000,4900000,5380000,5850000,6310000,6820000,7280000,7800000,8380000,8960000,9580000,10200000,10800000,11500000,12300000,13000000,13600000,14300000,14900000,15200000,15400000,15600000,15800000,16100000,16400000,16700000,17000000,17500000,18100000,18800000,19500000,20500000,21700000,23000000,24500000,26300000,28300000,30600000,33000000,35500000,38100000,41100000,43800000,45700000,48000000,50200000,52600000,55200000,58400000,61700000,65500000,69800000,74400000,79400000,84600000,90300000,96800000,104000000,112000000,120000000,131000000,142000000,153000000,165000000,178000000,192000000,206000000,221000000,237000000,254000000,271000000,289000000,309000000,329000000,350000000,372000000,395000000,419000000,444000000,469000000,495000000,522000000,548000000,575000000,602000000,630000000,659000000,689000000,718000000,749000000,778000000,806000000,829000000,850000000,866000000,878000000,889000000,901000000,908000000,915000000,920000000,923000000,927000000,931000000,935000000,940000000,945000000,950000000,955000000,960000000,965000000,969000000,974000000,979000000,984000000,989000000,994000000,999000000,1000000000,1010000000
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286000,579000,880000,1180000,1670000,2260000,2950000,3710000,4850000,6200000,7490000,8890000,10900000,12500000,14500000,16500000,18400000,20500000,23000000,25700000,28600000,31600000,34900000,38300000,42100000,46200000,50500000,55500000,61300000,67600000,74400000,81000000,87800000,94700000,101000000,110000000,120000000,130000000,142000000,152000000,162000000,174000000,185000000,195000000,202000000,210000000,218000000,226000000,234000000,241000000,249000000,257000000,265000000,273000000,282000000,290000000,300000000,312000000,324000000,337000000,351000000,372000000,407000000,451000000,480000000,504000000,529000000,555000000,583000000
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,474000,991000,1530000,2090000,2710000,3410000,4130000,4850000,5570000,6340000,7140000,8190000,9320000,10400000,11600000,12900000,14200000,15600000,16900000,18400000,20000000,21600000,23300000,24900000,26600000,28400000,30300000,32200000,34100000,36000000,38000000,39900000,41200000,42700000,44000000,45300000,46600000,48100000,49800000,51600000,52800000,54300000,56000000,57700000,59600000,61700000,63400000,65500000,67500000,70100000,71800000,74300000,76700000,78900000,81000000,83100000,85400000,87400000,89400000,91400000
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29300,62300,103000,194000,345000,521000,711000,946000,1160000,1530000,1990000,2310000,2710000,3100000,3430000,3780000,4210000,4730000,5420000,6250000,7190000,8280000,10800000,13800000,17300000,21500000,25100000,28700000,32200000,35300000,38500000,41900000,45500000,49300000,52400000,56300000,60800000,65000000,70500000,75900000,81500000,87300000,94600000,103000000,111000000,121000000,132000000,143000000,154000000,167000000,180000000,196000000,212000000,228000000,245000000,263000000,280000000,298000000,317000000,337000000,358000000,381000000,404000000,429000000,454000000,482000000,511000000,540000000,571000000,602000000,633000000,666000000,699000000,737000000,775000000,812000000,856000000,901000000,949000000,999000000,1050000000,1100000000,1160000000,1220000000,1280000000,1340000000,1400000000,1460000000,1520000000,1580000000,1650000000
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44000,66000,77000,88000,99000,161000,213000,279000,326000,378000,436000,477000,543000,609000,667000,697000,748000,803000,851000,906000,964000,1010000,1070000,1970000,2900000,3980000,5060000,6200000,7580000,9130000,10900000,12700000,14500000,16400000,19000000,21000000,22700000,24800000,26800000,29000000,30800000,33600000,36800000,39800000,43400000,46700000,50300000,53400000,56300000,58900000,61600000,64500000,67100000,70300000,72800000,75300000,77300000,78800000,79900000,80900000,81900000,82900000,83900000,84900000,85900000,86900000,88000000,89100000,90200000,91300000,92500000,93600000,94700000,96100000,97600000,99200000,101000000,103000000,105000000,107000000,109000000,111000000,113000000,116000000,119000000,122000000,126000000,134000000,141000000,148000000,157000000,165000000
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3160000,6210000,9300000,12200000,15200000,18200000,21300000,24300000,27400000,30600000,33700000,37000000,40100000,43300000,44400000,44800000,45100000,45400000,45400000,45400000,45600000,45700000,46500000,47400000,48500000,49800000,51300000,52700000,54400000,56500000,58900000,61700000,64400000,67000000,69900000,72500000,75300000,78100000,80900000,84500000,87400000,90600000,95300000,100000000,105000000,109000000,114000000,119000000,124000000,129000000,134000000,139000000,144000000,150000000,156000000,161000000,168000000,175000000,181000000,186000000,190000000,195000000,199000000,203000000,208000000,213000000,220000000,227000000,234000000,241000000,249000000,258000000,268000000,277000000,286000000,296000000,308000000,320000000,333000000,345000000,355000000,365000000,378000000,393000000,405000000,418000000,435000000,457000000,482000000,507000000,533000000
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1060000,2210000,3600000,5170000,6790000,8510000,10300000,12100000,13800000,15400000,17400000,19200000,21100000,23000000,25300000,27700000,30000000,33400000,36400000,39500000,42300000,45700000,48300000,52000000,55900000,60100000,64400000,68600000
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29300,62300,95300,143000,191000,257000,323000,411000,488000,572000,671000,774000,876000,990000,1100000,1220000,1340000,1470000,1590000,1720000,1840000,1970000,2130000,2280000,2440000,2600000,2720000,2850000,2970000,3080000,3190000,3300000,3400000,3510000,3600000,3700000,3780000,3860000,3940000,4000000,4070000,4130000,4180000,4220000,4260000,4310000,4350000,4390000,4430000,4470000,4520000,4570000,4620000,4670000,4720000
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25700,55000,84300,121000,161000,205000,253000,308000,367000,433000,513000,594000,682000,781000,931000,1110000,1300000,1510000,1770000,2170000,2390000,2590000,2860000,3280000,3710000,4060000,4340000,4680000,5010000,5520000,6060000,6520000,6960000,7450000,8150000,8830000,9530000,10400000,11400000,12300000,13000000,14100000,15400000,16900000,18600000,21000000,23400000,26200000,28400000,31600000,34600000,37900000,40500000,43300000,45900000,49000000,51500000,54100000,57500000,61700000,66600000,71900000,77400000,83700000,91300000,97400000,106000000,115000000,125000000
